code,village,area,city,201605,201604,201603,201602,201601,201512,201511,201510,201509,201508,201507,201506,201505,201504,201503,201502,201501,201412,201411,201410,201409,201408,201407,201406,201405,201404
65000230-010,下罟里,八里區,新北市,270092,270092,264732,264732,253575,253575,302811,302810,395228,395228,331230,331229,259371,259370,258709,258709,248825,248824,348542,348542,428139,428139,302780,302779,262425,262424
65000230-003,大崁里,八里區,新北市,33356,631301,631300,553124,553123,597585,597584,816188,816188,994635,994634,621325,621324,576946,576945,570509,570508,578223,578222,933979,933979,886010,886009,598551,598551,1114324
65000230-002,米倉里,八里區,新北市,14090,702138,702137,595240,595240,602746,602745,830027,830027,1033486,1033486,659139,659138,655662,655662,622609,622609,575611,575610,924936,924935,944038,944038,664256,664255,1171797
65000230-009,長坑里,八里區,新北市,301531,301531,304486,304486,273441,273440,318465,318464,384714,384713,357058,357057,286231,286230,294025,294024,280982,280982,358109,358109,429961,429961,313808,313807,275346,275346
65000230-008,荖阡里,八里區,新北市,358584,358584,340162,340162,324184,324184,376610,376610,455471,455471,446738,446738,320493,320493,295888,295887,313172,313172,394515,394515,520775,520774,377351,377351,309164,309163
65000230-007,訊塘里,八里區,新北市,646944,646944,652494,652493,573558,573557,681877,681877,959532,959531,903024,903024,588416,588415,583235,583234,582598,582598,760110,760109,1100129,1100129,793658,793657,585611,585610
65000230-004,埤頭里,八里區,新北市,13272,536302,536301,464929,464928,502060,502060,678274,678274,841567,841566,523702,523701,495299,495299,495589,495589,489265,489264,801967,801967,774353,774352,521026,521025,1002103
65000230-005,頂罟里,八里區,新北市,347747,238875,267274,267273,263685,263684,344789,299835,432520,368458,354916,354916,269475,269475,290916,210812,272285,272284,360715,331674,431560,431559,319134,319134,259365,259364
65000230-001,龍源里,八里區,新北市,1958,1238486,1238485,1353303,1353302,1144485,1144484,1611260,1611260,2210700,2210699,1423612,1423611,1256110,1256109,1282309,1282308,1146946,1146945,1902055,1902054,2176870,2176870,1376335,1376335,2317203
65000230-006,舊城里,八里區,新北市,975985,975985,959479,959479,856422,856421,1019065,1019065,1439384,1439384,1467572,1467572,918242,918241,890253,890253,909100,909100,1084318,1084317,1733885,1733885,1271426,1271426,894416,894415
65000210-001,八賢里,三芝區,新北市,31952,31951,34124,34124,30881,30881,32245,32245,39587,39586,39358,39358,32197,32197,32394,32393,32719,32718,33371,33371,44836,44835,38659,38658,31481,31480
65000210-003,古庄里,三芝區,新北市,200590,200590,208705,208704,183031,183031,187894,187893,239537,239537,233017,233016,179295,179294,179481,179481,180298,180297,182289,182289,266191,266190,211616,211615,167886,167886
65000210-009,後厝里,三芝區,新北市,7982,477004,477003,537268,537267,418565,418565,512709,512709,661436,661435,454200,454199,463413,463412,458182,458182,398018,398018,551144,551143,648710,648709,454325,454325,795188
65000210-006,茂長里,三芝區,新北市,98993,119636,119636,130814,130814,111650,111650,133849,133848,152735,152734,121668,121667,123556,123556,114923,114922,126521,88895,163199,119576,140323,140323,110093,110092,120186
65000210-005,埔坪里,三芝區,新北市,851769,1280071,864348,1108512,1108512,1174983,842507,1466522,1088922,1506691,1506690,1096845,1096845,1068390,1068389,1046134,1046133,1183127,898651,1615013,1231389,1428608,1428608,1044524,1044523,1166196
65000210-002,埔頭里,三芝區,新北市,825020,825020,823820,823820,762485,762484,799388,799387,1027032,1027031,1033149,1033148,756782,756781,750066,750066,762769,762769,817092,817092,1197748,1197747,896606,896606,730015,730014
65000210-011,圓山里,三芝區,新北市,75647,75647,96239,65070,69732,69732,87500,61666,77768,77767,75413,75412,77164,77163,85082,62891,70599,70598,87173,60943,96710,66077,79671,58245,82076,57241
65000210-004,新庄里,三芝區,新北市,75120,127618,127618,133180,133179,122462,122462,153756,153755,176126,176126,127931,127930,126169,126168,120580,120579,111791,111791,159243,159242,157902,157901,118653,118652,155951
65000210-010,福德里,三芝區,新北市,146763,146762,160500,160499,136449,136448,138189,138189,156256,156256,159631,159631,135769,135769,146214,146214,141352,141351,134192,134191,175790,175789,147333,147333,129780,129779
65000210-007,橫山里,三芝區,新北市,73690,73690,75485,75485,71560,71559,75425,75424,80057,80056,84019,84018,73855,73855,71074,71073,68280,68280,69901,69901,84994,84994,73679,73679,66201,66201
65000210-013,興華里,三芝區,新北市,13310,260491,260491,232768,232768,205838,205837,249163,249162,270969,270968,222249,222249,244900,244899,255603,255603,207079,207079,257608,257607,261218,261218,229169,229168,429064
65000210-008,錫板里,三芝區,新北市,6967,50055,50054,54112,54111,47028,47028,59513,59513,73551,73551,52693,52692,50114,50113,46263,46262,44007,44006,61262,61261,68712,68712,51254,51254,80728
65000020-002,二重里,三重區,新北市,7551,157768,157767,138613,138613,149861,149860,223087,223086,286989,286989,179637,179636,156965,156965,147471,147471,158118,158117,250667,250667,269944,269943,179746,179745,283394
65000020-019,三民里,三重區,新北市,7851,418235,418235,455376,455375,439940,439939,653585,653584,884411,884410,521815,521815,441303,441302,431083,431083,417172,417171,770795,770795,844868,844867,503957,503956,827542
65000020-072,三安里,三重區,新北市,484825,484825,468682,468682,446729,446729,587025,587025,819528,819528,638345,638344,459891,459890,452498,452498,433617,433616,708299,708298,865233,865232,567192,567192,438612,438612
65000020-028,大同里,三重區,新北市,215097,448492,448491,412238,412238,494028,494027,687187,687186,822674,822674,477570,477569,419137,419137,423119,423118,482236,482235,829309,829309,736108,736107,469397,469396,695732
65000020-031,大安里,三重區,新北市,2994,204576,204575,178807,178807,228602,228602,297403,297403,386142,386141,218245,218245,195003,195002,189359,189359,214676,214675,384441,384441,352314,352313,211977,211976,403241
65000020-001,大有里,三重區,新北市,14120,731899,731898,697239,697238,687353,687352,1026111,1026111,1357142,1357142,837109,837109,722010,722010,690266,690265,688751,688750,1214096,1214095,1251576,1251575,823599,823599,1312072
65000020-042,大園里,三重區,新北市,345090,345089,308617,308616,303160,303159,368924,368924,539036,539036,554260,554259,322912,322911,289897,289896,312448,312448,403839,403838,645901,645900,461992,461992,323703,323703
