code,village,area,city,201605,201604,201603,201602,201601,201512,201511,201510,201509,201508,201507,201506,201505,201504,201503,201502,201501,201412,201411,201410,201409,201408,201407,201406,201405,201404
65000230-010,下罟里,八里區,新北市,540184,0,527831,1633,507150,0,605621,0,790456,0,662459,0,518741,0,517418,0,497609,40,697084,0,856278,0,605559,0,524849,0
65000230-003,大崁里,八里區,新北市,33356,1240147,22454,1085428,20819,1162590,32579,1583329,49047,1927647,61622,1211352,31297,1131727,22164,1120930,20087,1125654,30791,1816337,51621,1730872,41147,1194399,2703,1114324
65000230-002,米倉里,八里區,新北市,14090,1391138,13137,1176902,13578,1191536,13955,1644186,15868,2049006,17966,1303630,14647,1297801,13523,1241743,3475,1149170,2051,1847377,2494,1886105,1971,1325161,3350,1171797
65000230-009,長坑里,八里區,新北市,598317,4745,601937,7035,539010,7871,628512,8417,760117,9310,707012,7103,567384,5077,580202,7847,553140,8824,707217,9001,850356,9566,619299,8316,544885,5807
65000230-008,荖阡里,八里區,新北市,717168,0,680324,0,648368,0,753220,0,910942,0,893476,0,640986,0,591775,0,626344,0,789030,0,1041549,0,754641,61,618327,0
65000230-007,訊塘里,八里區,新北市,1291524,2364,1302985,2002,1144213,2902,1360064,3690,1915422,3641,1805690,358,1176549,282,1166182,287,1165130,66,1519983,236,2195950,4308,1586794,521,1170846,375
65000230-004,埤頭里,八里區,新北市,13272,1063577,9026,920756,9101,989240,14880,1343410,13138,1669087,14046,1038166,9237,982571,8027,982619,8559,968647,9882,1589181,14753,1537504,11201,1033111,8940,1002103
65000230-005,頂罟里,八里區,新北市,347747,238875,324252,210295,317313,210056,344789,299835,432520,368458,478646,231186,329591,209359,290916,210812,341896,202673,360715,331674,530685,332434,415542,222726,320357,198372
65000230-001,龍源里,八里區,新北市,1958,2476971,0,2706316,289,2288969,0,3222520,0,4421399,0,2847223,0,2512219,0,2564617,0,2293891,0,3804109,0,4353740,0,2752670,0,2317203
65000230-006,舊城里,八里區,新北市,1920780,31190,1892654,26304,1691273,21570,2005879,32251,2838534,40234,2903823,31321,1799661,36822,1748134,32372,1785723,32477,2128413,40222,3423355,44415,2506147,36705,1755036,33795
65000210-001,八賢里,三芝區,新北市,63903,0,68248,0,61762,0,64490,0,79173,0,78716,0,64394,0,64787,0,65437,0,66742,0,89671,0,77317,0,62961,0
65000210-003,古庄里,三芝區,新北市,401180,0,417409,0,366062,0,375787,0,479074,0,466033,0,358589,0,358962,0,360356,239,364578,0,532381,0,422930,301,335772,0
65000210-009,後厝里,三芝區,新北市,7982,946924,7083,1068055,6480,833392,3738,1021067,4351,1318446,4425,904576,3823,922862,3963,912538,3826,791813,4223,1096274,6013,1292939,4480,905420,3230,795188
65000210-006,茂長里,三芝區,新北市,98993,158626,80646,181227,80401,135425,87875,163809,103888,199601,105868,155424,87911,170677,76435,153272,76573,126521,88895,163199,119576,178604,102042,137383,82802,120186
65000210-005,埔坪里,三芝區,新北市,851769,1280071,864348,1439119,777905,1174983,842507,1466522,1088922,1947566,1065815,1379599,814091,1319253,817526,1298293,793974,1183127,898651,1615013,1231389,1919821,937395,1320602,768445,1166196
65000210-002,埔頭里,三芝區,新北市,1637043,12997,1637671,9969,1512746,12223,1588882,9893,2044363,9700,2059210,7087,1506763,6800,1494168,5964,1519376,6162,1626518,7666,2387935,7560,1787431,5781,1454767,5262
65000210-011,圓山里,三芝區,新北市,95911,55383,96239,65070,85690,53774,87500,61666,95871,59664,98044,52781,94312,60015,85082,62891,88837,52360,87173,60943,96710,66077,79671,58245,82076,57241
65000210-004,新庄里,三芝區,新北市,75120,179801,75435,199047,67312,175742,69182,222473,85038,268576,83676,186742,69119,188445,63892,177430,63729,161374,62208,230121,88364,242578,73225,176738,60567,155951
65000210-010,福德里,三芝區,新北市,263229,30296,298126,22873,250661,22236,245739,30639,288262,24250,297581,21681,246230,25308,268790,23638,260027,22676,236516,31867,315465,36114,269585,25081,234431,25128
65000210-007,橫山里,三芝區,新北市,143178,4202,146398,4572,139208,3911,146110,4739,154758,5355,163752,4285,143598,4112,138312,3835,132673,3887,135101,4701,164807,5181,142742,4616,128809,3593
65000210-013,興華里,三芝區,新北市,13310,509934,11048,453844,11692,399074,12601,484521,13804,526818,15119,430045,14453,476856,12943,497047,14159,400633,13525,497659,17556,508681,13755,446604,11733,429064
65000210-008,錫板里,三芝區,新北市,6967,93089,7020,102228,5995,87231,6825,107924,11102,140444,6658,101002,4383,95704,4523,88199,4326,83293,4720,115367,7156,131526,5898,98537,3971,80728
65000020-002,二重里,三重區,新北市,7551,309284,6251,269837,7389,290619,9102,434586,11587,564365,9613,351821,7452,307709,6221,288278,6664,306522,9713,489574,11760,529800,10087,351754,7737,283394
65000020-019,三民里,三重區,新北市,7851,829090,7380,901804,8947,869293,10586,1295053,12116,1757634,11187,1035369,8261,880197,2408,860299,1867,830598,3745,1536695,4895,1687138,2597,1006552,1361,827542
65000020-072,三安里,三重區,新北市,944758,24892,914011,23353,867036,26422,1144813,29237,1605570,33486,1249491,27198,896469,23312,882382,22614,845558,21675,1388979,27618,1704773,25692,1117025,17359,860241,16983
65000020-028,大同里,三重區,新北市,215097,702714,194269,637829,186647,760498,227557,1054834,319539,1311008,334340,752653,202486,658268,180006,653993,192244,722973,241498,1263409,395209,1183151,289064,741207,197586,695732
65000020-031,大安里,三重區,新北市,2994,406930,2221,354966,2648,453260,3944,589200,5606,765950,6333,433719,2771,387836,2169,375959,2759,424823,4528,760928,7954,698467,6160,421137,2816,403241
65000020-001,大有里,三重區,新北市,14120,1455157,8640,1384637,9840,1364105,10600,2040142,12080,2701084,13200,1662178,12040,1433500,10520,1371011,9520,1366021,11480,2415271,12920,2491551,11600,1636238,10960,1312072
65000020-042,大園里,三重區,新北市,690179,0,617233,0,606319,0,737848,0,1078072,0,1108519,0,645823,0,579793,0,624896,0,807677,0,1291801,0,923984,0,647406,0
