code,village,area,city,201605,201604,201603,201602,201601,201512,201511,201510,201509,201508,201507,201506,201505,201504,201503,201502,201501,201412,201411,201410,201409,201408,201407,201406,201405,201404
65000230-010,下罟里,八里區,新北市,273216,266968,270022,259442,231136,276014,262720,342901,430046,360410,371531,290928,259702,259039,263758,253660,207279,290370,312822,384262,501569,354709,324398,281161,524849,0
65000230-003,大崁里,八里區,新北市,33356,673301,589300,534138,572109,506021,689148,736145,896231,1221602,767667,642439,600210,579711,574180,569309,571708,442475,713970,956482,911476,1048497,723522,619311,577791,1114324
65000230-002,米倉里,八里區,新北市,14090,760713,643562,591562,598918,506533,698958,739046,921008,1263256,803716,660615,657662,670135,641189,646716,598502,441491,709730,915341,934530,1108943,779133,705054,623457,1171797
65000230-009,長坑里,八里區,新北市,300622,302440,321279,287693,252479,294402,288283,348646,398639,370788,396178,317937,283033,289428,301045,287004,246632,315332,325199,391019,497559,362363,333866,293749,544885,5807
65000230-008,荖阡里,八里區,新北市,368038,349130,348343,331981,299932,348436,340917,412303,459880,451062,520247,373229,333287,307699,287491,304284,277175,349169,340094,448936,603959,437590,414816,339886,618327,0
65000230-007,訊塘里,八里區,新北市,644086,649802,694827,610160,524121,622994,566265,797489,987827,931236,1093528,712520,591019,585812,583498,582971,505604,659592,621838,898381,1277289,922969,913369,673946,1170846,375
65000230-004,埤頭里,八里區,新北市,13272,574901,497702,448258,481599,425831,578289,604947,751601,1037692,645441,538110,509293,495287,495311,499138,492040,370568,607961,815222,788712,926292,622413,528964,513087,1002103
65000230-005,頂罟里,八里區,新北市,347747,238875,270164,264383,252742,274627,344789,299835,432520,368458,420370,289462,286271,252679,290916,210812,264992,279577,360715,331674,484074,379045,360412,277856,320357,198372
65000230-001,龍源里,八里區,新北市,1958,1183686,1293285,1466368,1240237,950629,1338340,1358549,1863971,2689474,1731925,1512598,1334625,1243145,1269074,1353761,1210856,862895,1430996,1773905,2030204,2667318,1686422,1494553,1258117,2317203
65000230-006,舊城里,八里區,新北市,983183,968787,1013392,905566,783545,929298,843909,1194221,1423019,1455749,1812090,1123054,931578,904905,880784,899722,829507,988693,831402,1337233,2002092,1465678,1495538,1047314,1755036,33795
65000210-001,八賢里,三芝區,新北市,30901,33002,35826,32422,30214,31548,28949,35541,39701,39472,43297,35419,32099,32295,32232,32555,32395,33042,28479,38263,48152,41519,42615,34702,62961,0
65000210-003,古庄里,三芝區,新北市,196613,204567,222383,195026,180632,185430,165192,210595,242842,236232,263377,202656,179201,179388,179133,179829,179247,181348,148186,216392,296688,235693,235925,187306,335772,0
65000210-009,後厝里,三芝區,新北市,7982,448328,505679,603573,470962,376205,460925,447538,577880,784578,538293,449655,458744,466019,460806,490637,425727,333836,462200,505777,596510,763062,534357,483774,424876,795188
65000210-006,茂長里,三芝區,新北市,98993,111680,127592,149736,111892,101059,122241,120666,147031,171740,133729,115977,127358,130194,116918,125910,103935,126521,88895,163199,119576,158628,122018,117443,102742,120186
65000210-005,埔坪里,三芝區,新北市,851769,1280071,864348,1220519,996505,1174983,842507,1466522,1088922,1763892,1249489,1121370,1072320,1076945,1059834,1094686,997581,1183127,898651,1615013,1231389,1692786,1164430,1109378,979669,1166196
65000210-002,埔頭里,三芝區,新北市,824862,825178,856487,791153,743768,781201,699172,899603,1023316,1030747,1193206,873091,759958,753605,743792,756340,736791,788747,662115,972069,1370008,1025487,988602,804610,1454767,5262
65000210-011,圓山里,三芝區,新北市,75518,75776,96239,65070,69003,70461,87500,61666,76896,78639,76876,73949,81134,73193,85082,62891,71266,69931,87173,60943,96710,66077,79671,58245,82076,57241
65000210-004,新庄里,三芝區,新北市,75120,121135,134101,141461,124898,108091,136833,139320,168191,207781,144471,127350,128511,129967,122370,126294,114865,92160,131422,155046,163439,182695,133108,126066,111239,155951
65000210-010,福德里,三芝區,新北市,137639,155886,174381,146618,137801,135096,127185,149193,153770,158742,174705,144557,129822,141716,148637,143791,148044,134659,114998,153385,189575,162004,157609,137057,234431,25128
65000210-007,橫山里,三芝區,新北市,72871,74509,77385,73585,69828,73291,73257,77592,77796,82317,89528,78509,75240,72470,72552,69595,67661,68899,62977,76825,91092,78896,77459,69899,128809,3593
65000210-013,興華里,三芝區,新北市,13310,275651,245331,247715,217821,185932,225743,238742,259583,298373,243564,210777,233721,239822,249977,283056,228150,184712,229446,254786,260429,278193,244243,233759,224578,429064
65000210-008,錫板里,三芝區,新北市,6967,47712,52397,58395,49828,42041,52015,51721,67305,85566,61536,54112,51273,52159,48068,47586,44939,36902,51111,57252,65271,78565,58859,56346,46162,80728
65000020-002,二重里,三重區,新北市,7551,168514,147021,133473,143753,120110,179611,194104,252069,353567,220411,191651,167622,162083,151847,142948,151994,121760,194475,240775,260559,324464,215423,199091,160400,283394
65000020-019,三民里,三重區,新北市,7851,400665,435805,463735,447016,353397,526482,554545,752624,1113117,655704,564085,479545,446348,436257,438655,423511,292741,541602,734825,806765,1058331,631404,553143,454770,827542
65000020-072,三安里,三重區,新北市,492845,476805,481043,456321,385049,508409,488684,685366,921738,717318,743356,533333,463532,456249,462141,442855,328165,539068,635999,780598,1045450,685015,640852,493532,860241,16983
65000020-028,大同里,三重區,新北市,215097,470199,426784,376074,448402,413926,574129,612778,761595,1045261,600087,509517,445622,420502,417772,401922,444315,351033,613438,856514,802104,905160,567055,484252,454541,695732
65000020-031,大安里,三重區,新北市,2994,218528,190623,157061,200553,198792,258412,258613,336193,493078,279205,230434,206056,198035,191970,177804,200914,153825,275526,400895,367987,439583,265044,216578,207375,403241
65000020-001,大有里,三重區,新北市,14120,750074,713723,702447,692030,550854,823851,883068,1169154,1680282,1034002,898946,775272,738098,705922,691524,689007,497633,879868,1195222,1232969,1510913,992238,914154,733044,1312072
65000020-042,大園里,三重區,新北市,364343,325836,311369,305864,273495,332824,299804,438044,531530,546542,700442,408077,340308,305515,279043,300750,272583,352313,310716,496961,753119,538682,543307,380677,647406,0
